date,symbol,open,high,low,close,volume
2025-07-28,SPY,332.34,334.57,331.02,333.24,11350932
2025-07-28,QQQ,476.47,480.47,474.56,478.55,19799114
2025-07-28,IWM,309.7,311.81,308.46,310.57,7303905
2025-07-28,EFA,228.51,229.42,226.38,227.29,13495588
2025-07-28,EEM,489.31,498.78,487.36,496.8,19937057
2025-07-28,TLT,70.96,72.21,70.68,71.92,2999883
2025-07-28,GLD,436.31,438.06,431.09,432.82,18841570
2025-07-28,DBC,180.32,181.05,178.28,179.0,15347616
2025-07-29,SPY,333.24,335.14,331.9,333.8,16206344
2025-07-29,QQQ,478.55,480.47,470.57,472.46,13132690
2025-07-29,IWM,310.57,311.81,308.08,309.32,9190519
2025-07-29,EFA,227.29,231.53,226.38,230.61,3746598
2025-07-29,EEM,496.8,498.78,488.93,490.89,12525131
2025-07-29,TLT,71.92,72.21,71.07,71.36,16060376
2025-07-29,GLD,432.82,434.55,428.4,430.12,4961630
2025-07-29,DBC,179.0,184.64,178.28,183.9,18177615
2025-07-30,SPY,333.8,335.14,328.49,329.81,6099754
2025-07-30,QQQ,472.46,478.8,470.57,476.89,17406879
2025-07-30,IWM,309.32,310.56,302.39,303.6,3604511
2025-07-30,EFA,230.61,233.92,229.69,232.99,19725914
2025-07-30,EEM,490.89,492.85,479.06,480.98,11527619
2025-07-30,TLT,71.36,71.64,70.15,70.44,12412612
2025-07-30,GLD,430.12,431.85,426.53,428.25,16307710
2025-07-30,DBC,183.9,184.64,180.99,181.72,3307301
2025-07-31,SPY,329.81,334.73,328.49,333.4,16908100
2025-07-31,QQQ,476.89,478.8,463.97,465.83,3181037
2025-07-31,IWM,303.6,308.8,302.39,307.57,15953222
2025-07-31,EFA,232.99,235.04,232.05,234.1,10549441
2025-07-31,EEM,480.98,482.9,476.91,478.82,12643564
2025-07-31,TLT,70.44,70.72,68.1,68.38,1757086
2025-07-31,GLD,428.25,433.21,426.53,431.49,4929082
2025-07-31,DBC,181.72,182.44,180.46,181.19,17565588
2025-08-01,SPY,333.4,339.23,332.06,337.88,5339937
2025-08-01,QQQ,465.83,470.95,463.97,469.08,9308575
2025-08-01,IWM,307.57,308.8,301.89,303.1,17660000
2025-08-01,EFA,234.1,237.72,233.16,236.77,3703859
2025-08-01,EEM,478.82,483.75,476.91,481.82,10322734
2025-08-01,TLT,68.38,69.55,68.1,69.27,5594478
2025-08-01,GLD,431.49,436.37,429.76,434.63,10342260
2025-08-01,DBC,181.19,181.91,177.36,178.08,14935038
2025-08-04,SPY,337.88,343.55,336.52,342.18,13765491
2025-08-04,QQQ,469.08,470.95,466.44,468.31,8742735
2025-08-04,IWM,303.1,305.46,301.89,304.24,8783180
2025-08-04,EFA,236.77,238.7,235.83,237.75,8829459
2025-08-04,EEM,481.82,494.46,479.9,492.49,7118411
2025-08-04,TLT,69.27,69.71,68.99,69.43,9816313
2025-08-04,GLD,434.63,436.37,432.33,434.06,18937896
2025-08-04,DBC,178.08,179.83,177.36,179.11,13390093
2025-08-05,SPY,342.18,343.55,338.94,340.3,5210796
2025-08-05,QQQ,468.31,470.19,463.39,465.25,18297022
2025-08-05,IWM,304.24,309.31,303.02,308.07,2811700
2025-08-05,EFA,237.75,238.7,235.81,236.76,16322420
2025-08-05,EEM,492.49,502.67,490.52,500.66,19766045
2025-08-05,TLT,69.43,69.71,68.13,68.41,14166051
2025-08-05,GLD,434.06,435.8,429.09,430.81,17157224
2025-08-05,DBC,179.11,180.96,178.39,180.24,14436625
2025-08-06,SPY,340.3,342.69,338.94,341.32,8004930
2025-08-06,QQQ,465.25,467.8,463.39,465.94,15784984
2025-08-06,IWM,308.07,310.77,306.84,309.53,2764144
2025-08-06,EFA,236.76,239.25,235.81,238.3,4435289
2025-08-06,EEM,500.66,506.19,498.66,504.17,4404579
2025-08-06,TLT,68.41,68.69,68.13,68.42,13200724
2025-08-06,GLD,430.81,432.53,427.84,429.56,7977734
2025-08-06,DBC,180.24,180.96,179.15,179.87,13624162
2025-08-07,SPY,341.32,344.02,339.96,342.65,12656458
2025-08-07,QQQ,465.94,471.03,464.08,469.15,13219297
2025-08-07,IWM,309.53,310.77,307.2,308.44,17376846
2025-08-07,EFA,238.3,239.35,237.35,238.4,16636011
2025-08-07,EEM,504.17,506.19,497.5,499.49,5835780
2025-08-07,TLT,68.42,68.81,68.15,68.54,4428847
2025-08-07,GLD,429.56,431.28,427.7,429.42,17059887
2025-08-07,DBC,179.87,180.59,176.37,177.07,6416980
2025-08-08,SPY,342.65,344.02,339.41,340.78,18725376
2025-08-08,QQQ,469.15,471.03,466.83,468.7,13138398
2025-08-08,IWM,308.44,311.89,307.2,310.64,1907395
2025-08-08,EFA,238.4,241.37,237.44,240.41,18720412
2025-08-08,EEM,499.49,501.49,495.31,497.3,4053807
2025-08-08,TLT,68.54,70.22,68.27,69.94,9761572
2025-08-08,GLD,429.42,431.13,419.3,420.99,12935182
2025-08-08,DBC,177.07,177.78,176.0,176.71,8475684
2025-08-11,SPY,340.78,342.14,334.69,336.04,12061721
2025-08-11,QQQ,468.7,470.58,464.87,466.73,8484036
2025-08-11,IWM,310.64,311.89,306.08,307.31,7548014
2025-08-11,EFA,240.41,241.37,236.99,237.94,9032517
2025-08-11,EEM,497.3,503.42,495.31,501.41,8608114
2025-08-11,TLT,69.94,70.22,68.17,68.44,7708134
2025-08-11,GLD,420.99,422.67,415.68,417.35,1972412
2025-08-11,DBC,176.71,177.42,175.9,176.6,1937412
2025-08-12,SPY,336.04,338.21,334.69,336.87,7497646
2025-08-12,QQQ,466.73,468.6,458.99,460.84,12552150
2025-08-12,IWM,307.31,308.54,300.5,301.71,12727933
2025-08-12,EFA,237.94,240.43,236.99,239.47,13235150
2025-08-12,EEM,501.41,505.99,499.41,503.97,16773266
2025-08-12,TLT,68.44,68.96,68.17,68.68,7600363
2025-08-12,GLD,417.35,419.02,413.31,414.97,1064032
2025-08-12,DBC,176.6,179.09,175.9,178.38,17088458
2025-08-13,SPY,336.87,340.43,335.52,339.07,3844693
2025-08-13,QQQ,460.84,462.68,456.32,458.15,5023298
2025-08-13,IWM,301.71,306.96,300.5,305.74,7688049
2025-08-13,EFA,239.47,240.43,236.5,237.45,17040117
2025-08-13,EEM,503.97,510.96,501.95,508.92,12157425
2025-08-13,TLT,68.68,68.96,67.74,68.01,3910842
2025-08-13,GLD,414.97,419.65,413.31,417.98,14282135
2025-08-13,DBC,178.38,179.09,173.38,174.08,16541088
2025-08-14,SPY,339.07,340.43,332.27,333.61,6330324
2025-08-14,QQQ,458.15,467.39,456.32,465.53,6704376
2025-08-14,IWM,305.74,307.78,304.51,306.55,16614685
2025-08-14,EFA,237.45,238.4,236.41,237.36,5904795
2025-08-14,EEM,508.92,510.96,501.21,503.22,16916777
